"Mrs. Theresa Herring","LANG-3981"
"Kelly Collins","ITEC-7960"
"Kelly Collins","ECSE-9186"
"Deborah Davis","BIOL-5043"
"Deborah Davis","CHEM-4267"
"Deborah Davis","CSCI-2542"
"Katie Sanchez DDS","STSO-9202"
"Katie Sanchez DDS","ECSE-9097"
"Samuel Johnston","MATH-9843"
"Samuel Johnston","CSCI-7722"
"Samuel Johnston","COGS-3037"
"Mark Burgess","ENGR-4339"
"Mark Burgess","BIOL-4411"
"Mark Burgess","STSO-6899"
"Samuel Combs","ITEC-4946"
"Samuel Combs","MGMT-2898"
"Samuel Combs","CHEM-2562"
"Melissa Murphy","COGS-1776"
"Melissa Murphy","COGS-7911"
"Jason Miller","ENGR-4269"
"Jason Miller","ECON-2282"
"Sabrina Hutchinson","ECSE-1512"
"Sabrina Hutchinson","CHEM-4366"
"Sharon Miranda","ITEC-3099"
"Sharon Miranda","ECSE-6530"
"Sharon Miranda","CSCI-8424"
"Mr. Joseph Conrad","ARCH-1513"
"William Walker","COGS-1543"
"William Walker","COGS-2457"
"Philip Dennis","ITEC-6358"
"Philip Dennis","PSYC-4598"
"Rhonda Mckenzie","ITEC-5912"
"Sara Jimenez","ITEC-8608"
"Sara Jimenez","COGS-3077"
"Sara Jimenez","COGS-9667"
"Jennifer Ford","ENGR-6942"
"Jennifer Ford","CHEM-8608"
"Stephanie Thompson","PSYC-6051"
"Stephanie Thompson","COGS-9903"
"Stephanie Thompson","MGMT-3637"
"Andrew Cooke","CSCI-9644"
"Andrew Cooke","ECON-2282"
"Jeffrey Davis","STSO-7793"
"Jeffrey Davis","LANG-1270"
"Jeffrey Davis","LANG-9830"
"Tim Salinas","COGS-2623"
"Tim Salinas","LANG-5999"
"Christopher Mcdonald","ITEC-8660"
"Christopher Mcdonald","MGMT-2422"
"Christopher Mcdonald","ARCH-1513"
"Daniel Ramsey","PSYC-1340"
"Daniel Ramsey","BIOL-1380"
"Daniel Ramsey","ENGR-9682"
"Laura Williamson","ITEC-8660"
"Laura Ellis","ECON-4118"
"Laura Ellis","MGMT-3637"
"Dennis Solomon","BIOL-3377"
"Dennis Solomon","CSCI-9644"
"Dr. Mike Terrell Jr.","ITEC-6379"
"Dr. Mike Terrell Jr.","CHEM-4309"
"Dr. Mike Terrell Jr.","ENGR-4550"
"Carla Dunn","CHEM-8608"
"Carla Dunn","BIOL-1217"
"Maria Alexander","ITEC-2724"
"Maria Alexander","ECON-6169"
"Maria Alexander","STSO-5001"
"Brenda Ingram","MGMT-3029"
"Brenda Ingram","CSCI-1934"
"Roy Holmes","ECSE-7363"
"Roy Holmes","ARCH-7686"
"Roy Holmes","LANG-8192"
"Allison Oneal","ECSE-7363"
"Allison Oneal","ITEC-3099"
"Craig Miller","ECON-9443"
"Craig Miller","PSYC-5029"
"Erica Franklin","PSYC-9330"
"Tammy Hartman","ARCH-7668"
"Tammy Hartman","ENGR-9278"
"Tammy Hartman","STSO-5789"
"Leslie Carter","STSO-3850"
"Leslie Carter","PSYC-1505"
"Leslie Carter","ECON-9818"
"Michael Good","COGS-7500"
"Ruth Romero","ARCH-7668"
"Ruth Romero","STSO-8384"
"Sara Gray","ITEC-5912"
"Teresa Collins","ENGR-4942"
"Teresa Collins","PSYC-2251"
"Timothy Davis","ITEC-3263"
"Timothy Davis","MATH-4157"
"Cheyenne Perez","ECSE-8065"
"Jacob Murphy","CSCI-3014"
"Shannon Nichols","ITEC-3472"
"Shannon Nichols","MATH-5379"
"Mrs. April Holmes","ECSE-3554"
"Jacob Allen","ITEC-2018"
"Jacob Allen","ENGR-3478"
"Jacob Allen","BIOL-9328"
"Whitney White","ARCH-9962"
"Whitney White","LANG-1270"
"Jeremy Wood","MATH-9199"
"Jeremy Wood","CHEM-2266"
"Jeremy Wood","LANG-3193"
"Laura Elliott","MGMT-3535"
"Laura Elliott","STSO-4319"
"Laura Elliott","ENGR-2938"
"Austin Ponce","COGS-7514"
"Austin Ponce","STSO-3203"
"Mariah Anderson","ECON-8665"
"Mariah Anderson","ECON-4224"
"Mariah Anderson","ECSE-9548"
"Gabrielle Wilson","STSO-8203"
"Mark Harrison","CSCI-5490"
"Mark Harrison","MGMT-3535"
"Susan Gilbert","CSCI-1994"
"Alexander Jones","CHEM-8938"
"Alexander Jones","ARCH-2437"
"Alexander Jones","ENGR-4384"
"David Caldwell","LANG-2615"
"David Caldwell","STSO-7806"
"David Caldwell","ECON-8673"
"Pamela Warren","BIOL-7645"
"Robin Palmer","CHEM-1999"
"Cynthia Ruiz","ECON-5530"
"Cynthia Ruiz","CSCI-8365"
"Antonio Harris","STSO-8036"
"Alexandria Hunt","ITEC-4946"
"Virginia Ramirez","ENGR-7382"
"Virginia Ramirez","CHEM-1963"
"Angela Ramirez","ARCH-7834"
"James Harper","COGS-4318"
"Melissa Romero","ITEC-3314"
"Melissa Romero","MGMT-6609"
"Melissa Romero","CSCI-2137"
"Kaitlin Potts","CHEM-1999"
"Kaitlin Potts","ECSE-3554"
"Kaitlin Potts","ENGR-4384"
"Lisa Ball","CSCI-6658"
"Lisa Ball","MATH-9779"
"Lisa Ball","ENGR-7308"
"Stephanie Hunter","MATH-8448"
"Stephanie Hunter","CHEM-5099"
"Elizabeth Holloway","ARCH-8432"
"Elizabeth Holloway","PSYC-1360"
"Patricia Moreno","STSO-8269"
"Patricia Moreno","PSYC-4304"
"Patricia Moreno","LANG-5798"
"Jane Evans","LANG-8456"
"Jane Evans","ARCH-2464"
"Sheila Holmes","ARCH-3338"
"Sheila Holmes","CHEM-4267"
"Sheila Holmes","PSYC-9330"
"Monica Mckinney","ECON-5413"
"Cheryl Gibson","ECON-1777"
"Cheryl Gibson","COGS-2244"
"Maria Kramer","CSCI-5630"
"Maria Kramer","PSYC-9168"
"Ashley Guzman","ENGR-7308"
"Eric Duncan","ECON-6876"
"Eric Duncan","ECON-6876"
"Eric Duncan","COGS-2555"
"William Chang","ECON-1214"
"Chelsea Gonzalez","ITEC-8660"
"Chelsea Gonzalez","ARCH-2437"
"Brittany Mueller","LANG-2615"
"Kristen Sandoval","ECSE-6925"
"Kristen Sandoval","PSYC-1612"
"Monica Higgins","BIOL-4692"
"Monica Higgins","CSCI-7722"
"Monica Higgins","COGS-5133"
"Chelsea Garcia","MGMT-9704"
"Chelsea Garcia","LANG-4105"
"Chelsea Garcia","CSCI-9513"
"Christine Cooper","ITEC-8505"
"Christine Cooper","CHEM-5387"
"Teresa Prince","CSCI-1777"
"Stephanie Morales","ARCH-9302"
"Stephanie Morales","MGMT-4733"
"Stephanie Morales","ECON-4291"
"Teresa Watson","STSO-3144"
"Teresa Watson","ITEC-6550"
"Deanna Hoover","CHEM-8673"
"Deanna Hoover","BIOL-6076"
"Deanna Hoover","STSO-3337"
"Lauren Gill","ECON-2010"
"Miranda Faulkner","COGS-1776"
"Miranda Faulkner","ENGR-6537"
"Cameron Sanders","ARCH-9150"
"Gerald Edwards","ECON-1471"
"Gerald Edwards","COGS-2047"
"Gerald Edwards","CSCI-9200"
"Elizabeth Shields","STSO-8036"
"Anthony Guerra","MGMT-7673"
"Anthony Guerra","COGS-9903"
"Gregory Terry","CHEM-7787"
"Chelsea Turner","ECON-2203"
"Valerie Hendrix","ARCH-3804"
"Michael Martin","STSO-3144"
"Michael Martin","LANG-5798"
"Mario Mathis","LANG-8192"
"Shelby Clark","MATH-9858"
"Shelby Clark","ITEC-6199"
"Shelby Clark","COGS-1543"
"Franklin Hansen","MATH-4282"
"Franklin Hansen","BIOL-8647"
"Franklin Hansen","BIOL-8280"
"Scott Cordova","STSO-7806"
"Scott Cordova","ENGR-7382"
"Erica Haney","MATH-5864"
"Erica Haney","CSCI-7757"
"Christopher Rasmussen","CSCI-4158"
"Christopher Rasmussen","ECON-6169"
"Jared Ponce","STSO-5789"
"Jared Ponce","CHEM-2821"
"Randy Rogers","ECSE-5695"
"Randy Rogers","MGMT-6033"
"Randy Rogers","CSCI-6288"
"Crystal Stone","BIOL-8223"
"Crystal Stone","CSCI-8306"
"Crystal Stone","BIOL-9423"
"Erin Mccullough","PSYC-6966"
"Raymond Smith","ITEC-6470"
"Raymond Smith","ITEC-2402"
"Kelly Duran","MGMT-9704"
"Jerry Bowen","ECON-5803"
"Jerry Bowen","ECON-3139"
"Jerry Bowen","CHEM-4549"
"Dean Schroeder","LANG-4384"
"Roger Martin","ECSE-5117"
"Roger Martin","MATH-8752"
"Roger Martin","BIOL-9423"
"Christine Hernandez","ECSE-6925"
"Christine Hernandez","CSCI-2542"
"Christine Hernandez","CHEM-4267"
"Michael Thompson","LANG-9205"
"Jeffrey Bennett","ECON-9818"
"Jeffrey Bennett","ITEC-1982"
"Jeffrey Bennett","ITEC-9116"
"Sandra Wilson","MGMT-9901"
"Isabel Bean","BIOL-8280"
"Isabel Bean","BIOL-9107"
"Isabel Bean","MGMT-7673"
"Sandra Davis","CSCI-6607"
"Sandra Davis","STSO-3850"
"Sandra Harris","ENGR-3899"
"Ryan Richmond","CSCI-2400"
"Ryan Richmond","ENGR-3478"
"Karen Rogers","BIOL-1217"
"Karen Rogers","CSCI-9318"
"Melanie Foster","ITEC-6107"
"Allison Johnston","BIOL-6758"
"Allison Johnston","ARCH-7841"
"Jay Khan","CSCI-7757"
"Shannon Rush","ENGR-4550"
"Shannon Rush","ECSE-4571"
"Shannon Rush","COGS-3037"
"Brian Ramsey","LANG-9275"
"Brian Ramsey","BIOL-2248"
"Hannah Stewart","PSYC-2973"
"Hannah Stewart","ECON-8665"
"Hannah Stewart","CSCI-2542"
"Kevin Wheeler","MGMT-8778"
"Kevin Wheeler","ITEC-4772"
"Kevin Wheeler","BIOL-4411"
"Jonathan Wiley","CSCI-9624"
"Jonathan Wiley","CSCI-1521"
"Shannon Potter","CHEM-8673"
"Shannon Potter","MATH-8932"
"Jeffrey Potts","PSYC-4304"
"Michael Flores","ENGR-9476"
"Michael Flores","BIOL-1217"
"Jennifer Washington","ECSE-3306"
"Jennifer Washington","PSYC-6966"
"Melissa Kelly","MATH-5394"
"Melissa Kelly","COGS-1543"
"Amy Marshall","PSYC-6966"
"Amy Marshall","PSYC-2277"
"Amy Marshall","CSCI-8306"
"Cynthia Pruitt","STSO-9202"
"Cynthia Pruitt","ENGR-8578"
"Cynthia Pruitt","CSCI-1038"
"Laura Green","LANG-9205"
"Laura Green","ECON-2282"
"Joanna Harris","LANG-5818"
"Joanna Harris","ECON-8138"
"Joanna Harris","ARCH-8848"
"Paige Taylor","MATH-5669"
"Paige Taylor","ECON-1777"
"Paige Taylor","ECON-2203"
"Colin Davis","PSYC-9315"
"Alison Mccoy","ECSE-9748"
"Karen Hopkins","ECSE-5117"
"Jessica Andrews","STSO-2823"
"Jessica Andrews","CSCI-7708"
"Robert Robinson","MGMT-4800"
"Joshua White","COGS-6716"
"Joshua White","STSO-5789"
"Heather Webb","MGMT-5766"
"Heather Webb","ITEC-4946"
"Scott Farrell","LANG-4629"
"Scott Farrell","CHEM-4030"
"Daniel Bishop","ECSE-7483"
"Andres Johnson","CSCI-1038"
"Andres Johnson","CSCI-1704"
"Peter Wells","CHEM-1584"
"Johnny Mcdowell","ARCH-3204"
"Johnny Mcdowell","BIOL-5043"
"Jordan Holder","COGS-7514"
"Jordan Holder","STSO-3144"
"Jennifer Diaz","ARCH-7834"
"Jennifer Diaz","ECSE-1607"
"Jennifer Diaz","PSYC-1360"
"Hannah Carpenter","MATH-5379"
"Hannah Carpenter","ENGR-9682"
"Hannah Carpenter","MGMT-7196"
"Erica Reynolds","ECSE-8311"
"Erica Reynolds","ECON-6150"
"John Barber","CHEM-8339"
"Zachary Mcguire","ECSE-1460"
"Kenneth Perez","STSO-8384"
"Joshua Harvey","ECSE-9186"
"Joshua Harvey","CSCI-5085"
"Daniel Wright","BIOL-6426"
"Daniel Wright","CHEM-9367"
"Daniel Wright","MGMT-4520"
"Seth Day","CHEM-8608"
"Amy Holden","BIOL-6426"
"Amy Holden","COGS-2457"
"Jonathan Howard","PSYC-1471"
"Anita Johnson","ITEC-9478"
"Robert Higgins","LANG-5999"
"Robert Higgins","CHEM-4549"
"Robert Higgins","LANG-7040"
"Mathew Wilson","BIOL-9107"
"Mathew Wilson","COGS-2047"
"Mathew Wilson","COGS-3037"
"Philip Potts","ECON-5530"
"Philip Potts","CSCI-5023"
"Diana Lopez","ENGR-8838"
"Diana Lopez","ENGR-2938"
"Diana Lopez","BIOL-5043"
"Virginia Sullivan","COGS-8857"
"Virginia Sullivan","ITEC-6848"
"Virginia Sullivan","MGMT-7977"
"Kevin Rodriguez","CHEM-2562"
"Kevin Rodriguez","ARCH-7453"
"Kevin Rodriguez","CSCI-3014"
"Julie Martin","PSYC-1340"
"Janet Curry","BIOL-1380"
"Janet Curry","ENGR-9682"
"Charles Schneider","STSO-8203"
"Charles Schneider","CHEM-4904"
"Dr. Juan Gill","ECON-3139"
"Micheal Rangel","ITEC-8792"
"Micheal Rangel","ENGR-6735"
"Christopher Adams","MATH-9779"
"Brenda Mccormick","ITEC-4772"
"Brenda Mccormick","CSCI-5085"
"Robert Rollins","ITEC-9261"
"Justin Harmon","MGMT-5643"
"Justin Harmon","BIOL-1380"
"Justin Harmon","ITEC-6470"
"Angela Woods","CSCI-5630"
"Angela Woods","ECSE-1607"
"Diana Lynch","BIOL-4411"
"Diana Lynch","PSYC-2116"
"Diana Lynch","CHEM-8608"
"Dana Smith","ITEC-6199"
"Dana Smith","MGMT-5501"
"Mallory Ford","CSCI-2137"
"Mallory Ford","STSO-5789"
"Mallory Ford","MGMT-3727"
"Jared Roberson","ECON-2818"
"Jared Roberson","CSCI-5023"
"Kimberly Hall","ECON-2818"
"Kimberly Hall","ECON-3253"
"Kimberly Hall","CHEM-4904"
"Lori Grant","CSCI-1038"
"Lori Grant","CHEM-4904"
"Brian Velasquez","BIOL-5043"
"Brian Velasquez","LANG-5421"
"Brian Velasquez","ENGR-4339"
"Cynthia Wong","COGS-6716"
"Melanie Hill","BIOL-4289"
"Richard Gregory","ITEC-3358"
"Vincent Holland","LANG-9275"
"Michelle Mcbride","STSO-1933"
"Michelle Mcbride","ITEC-5042"
"Alicia Campos","MGMT-6085"
"Alicia Campos","ECON-6150"
"Alicia Campos","CSCI-2400"
"Stephanie May","COGS-2555"
"Stephanie May","MATH-7789"
"Emily Morris","STSO-5392"
"Haley Giles","BIOL-9270"
"Haley Giles","MATH-4884"
"Adam Young","ENGR-9476"
"Adam Young","LANG-2615"
"Ashley Olsen","BIOL-2248"
"Priscilla Williams","MATH-3894"
"Priscilla Williams","MGMT-4520"
"Randall Baxter","COGS-9903"
"Randall Baxter","LANG-3989"
"John Gross","BIOL-7711"
"Daniel Brooks III","LANG-9426"
"Sydney Gonzalez","LANG-2464"
"Sydney Gonzalez","ENGR-4384"
"Justin Deleon","LANG-1682"
"Justin Deleon","MATH-7041"
"Justin Deleon","COGS-4318"
"Charles Price MD","STSO-6899"
"Charles Price MD","CSCI-1704"
"Charles Price MD","STSO-6899"
"Leslie Murillo","ECSE-1864"
"Leslie Murillo","ECSE-6866"
"Cynthia Collins","ECON-5604"
"Steven Evans","LANG-3989"
"Steven Evans","BIOL-5252"
"Jill Smith","ECSE-5032"
"Andrew Gross","ITEC-6379"
"Nicholas Davidson","ITEC-2215"
"Renee Smith","ECSE-9557"
"Renee Smith","CSCI-8365"
"Craig Campos","MATH-8752"
"Craig Campos","CHEM-2266"
"Ricky Stokes","STSO-2963"
"Ricky Stokes","BIOL-4054"
"Ms. Tina Rivera","ITEC-2883"
"Gilbert Kaiser","PSYC-2692"
"Gilbert Kaiser","CSCI-9624"
"Gilbert Kaiser","LANG-3981"
"Kelly Flowers","BIOL-4692"
"Leslie Bautista","LANG-7417"
"Leslie Bautista","CHEM-2562"
"Ian Gray","CHEM-3665"
"Ian Gray","MGMT-4611"
"Ian Gray","CHEM-8182"
"Amanda Mitchell","CHEM-2566"
"Amanda Mitchell","ITEC-6470"
"Amanda Mitchell","ECSE-2185"
"Evelyn Brown","COGS-2244"
"Colleen Palmer","MATH-4277"
"Colleen Palmer","CHEM-2562"
"Eric Heath","COGS-6716"
"Jon Miller","ITEC-1345"
"Jon Miller","MGMT-3029"
"Mr. Daniel Snow","COGS-9661"
"Lauren Reed","LANG-3193"
"Lauren Reed","ARCH-5291"
"Chase Walker","LANG-2615"
"Patricia Fields","ENGR-5011"
"Patricia Fields","MATH-1079"
"Patricia Fields","BIOL-8280"
"Lori Bautista","PSYC-1340"
"Lori Bautista","ENGR-4384"
"Lori Bautista","ECON-9573"
"Mark Ferguson","LANG-3109"
"Mark Ferguson","MGMT-2368"
"Mark Ferguson","ECON-8673"
"Xavier Reyes","COGS-6330"
"Tammy Rogers","MGMT-9704"
"Tammy Rogers","PSYC-8244"
"Tammy Rogers","PSYC-2277"
"Sandra Campbell","LANG-3989"
"Sandra Campbell","ECSE-9748"
"Mary White","MGMT-8758"
"Mary White","CSCI-7757"
"Courtney Bullock","MATH-3894"
"Courtney Bullock","CSCI-7757"
"Courtney Bullock","MATH-8448"
"Brent Dalton","CHEM-7787"
"Diamond Bauer","ITEC-6379"
"Diamond Bauer","ECSE-5695"
"Todd Garcia","ARCH-7453"
"Nicholas Jackson","COGS-7706"
"Nicholas Jackson","STSO-5789"
"Nicholas Jackson","CSCI-1934"
"Colin Duran","COGS-6893"
"Brooke Lewis","ITEC-2883"
"Kaitlin Matthews","COGS-6716"
"Kaitlin Matthews","COGS-6212"
"Kaitlin Matthews","ARCH-7841"
"Dr. Daniel Neal","MATH-7964"
"Dr. Daniel Neal","STSO-3494"
"Traci Escobar","ITEC-6848"
"Traci Escobar","LANG-5999"
"Traci Escobar","ECON-7764"
"Alyssa Price","PSYC-4598"
"Alyssa Price","ITEC-8653"
"Kim Hanson","ITEC-9116"
"Kim Hanson","LANG-5798"
"Kim Hanson","MATH-5669"
"Sarah Davidson","MATH-5669"
"Sarah Davidson","ENGR-9178"
"Sarah Davidson","ARCH-7841"
"Keith Trujillo","CHEM-3665"
"Keith Trujillo","MGMT-7196"
"Ricky Cruz","ARCH-7668"
"Ricky Cruz","COGS-8518"
"Ricky Cruz","ARCH-7668"
"Julie Greene","STSO-2823"
"Julie Greene","PSYC-2251"
"Julie Greene","ENGR-8234"
"Kevin Steele","ECON-2818"
"Kevin Steele","CSCI-9513"
"Kevin Steele","ECON-9818"
"James Wood","CHEM-5387"
"James Wood","ARCH-5291"
"Jessica Downs","ITEC-8505"
"Jessica Downs","ITEC-3099"
"Jessica Downs","ENGR-8711"
"Frank Rodriguez","BIOL-8223"
"Frank Rodriguez","ENGR-6537"
"Mr. Daniel Owens","ITEC-5084"
"Mr. Daniel Owens","ECSE-1864"
"Mr. Daniel Owens","CHEM-9367"
"Jaime Christian","ECON-2282"
"Jaime Christian","CSCI-2400"
"Anne Robertson","ECON-6575"
"Anne Robertson","ECSE-9557"
"Anne Robertson","BIOL-7645"
"Joel Johnson","MGMT-2422"
"Joel Johnson","ENGR-4384"
"Lucas Griffin","ECON-5839"
"Lucas Griffin","STSO-6137"
"Stephanie Villarreal","BIOL-3506"
"Shelley Hicks","ENGR-4550"
"Shelley Hicks","ECON-9818"
"Shelley Hicks","PSYC-2973"
"Matthew Silva","CHEM-7687"
"Rachel Reynolds","CHEM-4309"
"Rachel Reynolds","CSCI-6607"
"Rachel Reynolds","LANG-2615"
"Tiffany Flores","PSYC-6051"
"Tiffany Flores","ARCH-7841"
"Tiffany Flores","CSCI-8306"
"Justin Benjamin","ECON-5604"
"Justin Benjamin","MGMT-5501"
"Justin Benjamin","STSO-6966"
"James Jordan","STSO-6966"
"James Jordan","COGS-2047"
"James Jordan","CSCI-6607"
"Timothy Rivera Jr.","ARCH-2486"
"Timothy Rivera Jr.","CHEM-2959"
"Nicole Valdez","BIOL-4667"
"Jessica Holden","LANG-5818"
"Ms. Joanne Flores","MGMT-2898"
"Ms. Joanne Flores","ARCH-8147"
"Danny Wells","CHEM-1386"
"Danny Wells","LANG-9830"
"Danny Wells","STSO-6966"
"Robert Moreno","ECSE-2712"
"Robert Moreno","LANG-8912"
"Lori Shaffer","PSYC-8244"
"Lori Shaffer","COGS-8029"
"Lori Shaffer","ECSE-1571"
"Michael Shepard","ITEC-6848"
"Andrea Jones","BIOL-9270"
"Andrea Jones","CHEM-1963"
"Angela Bradley","BIOL-4867"
"Troy Bell","BIOL-7711"
"Troy Bell","BIOL-6758"
"Troy Bell","ARCH-8097"
"Sharon Ruiz","ARCH-9962"
"James Bradshaw","COGS-6575"
"Angelica Evans","ENGR-8711"
"Angelica Evans","ECSE-3674"
"Angelica Evans","CHEM-4309"
"Bianca Tucker","MATH-9813"
"Bianca Tucker","MATH-3933"
"April King","ECSE-6690"
"Meredith Gregory","ITEC-5417"
"Meredith Gregory","BIOL-4692"
"Jonathan King","CHEM-6923"
"Jonathan King","MGMT-5643"
"Shannon Willis","MATH-5864"
"Shannon Willis","MATH-5356"
"Daniel Beard","STSO-2266"
"Jonathan Jackson","PSYC-1340"
"Jonathan Jackson","ARCH-8843"
"Jonathan Jackson","LANG-3989"
"Jamie Palmer","ECON-8869"
"Jamie Palmer","CHEM-8938"
"Timothy Moore","LANG-3193"
"Kim Hoover","ENGR-4550"
"Kim Hoover","PSYC-8244"
"Kim Hoover","CSCI-1521"
"Victoria Rich","ARCH-2464"
"Victoria Rich","MGMT-8811"
"Victoria Rich","CSCI-4158"
"Steven Farrell","BIOL-6758"
"Steven Farrell","STSO-7806"
"Jason Walsh","ARCH-4981"
"Jason Walsh","BIOL-4667"
"Jessica Parker","PSYC-2116"
"Jennifer Joseph","ENGR-3191"
"Jennifer Joseph","CSCI-8365"
"Justin Ross","ARCH-3804"
"Stephanie Potter","COGS-9661"
"Hunter Casey","ECSE-2185"
"Lance Woods","ECSE-6530"
"Lance Woods","STSO-3133"
"Penny Taylor","MGMT-8047"
"Daniel Chambers","LANG-1278"
"Daniel Chambers","ITEC-2215"
"Daniel Chambers","CHEM-9367"
"Larry Roberts","ENGR-8669"
"Larry Roberts","COGS-1059"
"Mckenzie Phillips","MATH-1079"
"Mckenzie Phillips","ARCH-3804"
"Mckenzie Phillips","CHEM-9716"
"Ryan Kent","PSYC-8737"
"Ryan Kent","STSO-3337"
"Ryan Kent","LANG-2615"
"Robert Mejia","COGS-3077"
"Mrs. Diana Smith PhD","PSYC-4598"
"Mrs. Diana Smith PhD","CHEM-8938"
"Todd Adams","ARCH-8432"
"Todd Adams","CSCI-5884"
"Todd Adams","ECON-5413"
"Bobby Figueroa","ITEC-4772"
"Bobby Figueroa","BIOL-8280"
"Bobby Figueroa","CSCI-4158"
"Jordan Jones","ITEC-8608"
"Jordan Jones","CSCI-7708"
"Dr. Emily Neal","STSO-7793"
"Jodi Watson","MATH-8448"
"Jodi Watson","ECSE-8311"
"Jodi Watson","STSO-1842"
"Jeffrey Stephens","PSYC-8944"
"Jeffrey Stephens","ECSE-9186"
"Becky Gonzalez","STSO-7806"
"Jeremiah Gonzalez","ARCH-7453"
"Christopher Brady","CSCI-6872"
"Christopher Brady","LANG-8192"
"Christopher Brady","LANG-8367"
"Barry Nunez","BIOL-4011"
"Barry Nunez","CHEM-8182"
"Barry Nunez","STSO-5789"
"Mercedes Wilson","MGMT-1644"
"Regina Keller","BIOL-1380"
"Regina Keller","COGS-6716"
"Regina Keller","CHEM-7955"
"Kevin Long","CSCI-1038"
"Kevin Long","COGS-5146"
"Sandra Hernandez","ITEC-3472"
"Sandra Hernandez","ECSE-4324"
"Sandra Hernandez","PSYC-1799"
"Kimberly Wise","ECSE-1460"
"Shelly Lang","MGMT-3727"
"Tracey Martinez","LANG-1682"
"Brittney Williams","PSYC-6051"
"Aaron Martinez","ECON-5604"
"Aaron Martinez","CHEM-8182"
"Suzanne Santiago","LANG-9426"
"Suzanne Santiago","CSCI-6607"
"Robert Gregory","PSYC-8075"
"Krista Haley","COGS-7911"
"Krista Haley","CSCI-9513"
"Morgan Richmond","PSYC-9330"
"Morgan Richmond","BIOL-6426"
"Justin Fields","ITEC-5912"
"Justin Fields","BIOL-6758"
"Erin Howard","STSO-3494"
"Erin Howard","ECSE-2659"
"Louis Walton","ECSE-8140"
"Mr. Richard Maxwell","CSCI-4126"
"Mr. Richard Maxwell","ECSE-6866"
"Mr. Richard Maxwell","BIOL-4411"
"Eric Norton","MGMT-8758"
"Eric Norton","MATH-9779"
"Jack Clark","ECON-5530"
"Jack Clark","CSCI-8365"
"Jack Clark","COGS-6716"
"Francisco Wright","CSCI-6872"
"Francisco Wright","MATH-5864"
"Mark Sandoval","COGS-5133"
"Mark Sandoval","MATH-2624"
"Grant Brown","CHEM-8673"
"Stacy Williams","MATH-9199"
"Stacy Williams","LANG-8367"
"Brent Barry","ITEC-5042"
"Brent Barry","PSYC-8944"
"Brent Barry","MATH-5379"
"Bianca Oconnor","COGS-7514"
"Paul Thomas","PSYC-4598"
"Paul Thomas","ECON-6575"
"Angel Perry","PSYC-6051"
"Angel Perry","LANG-4384"
"Angel Perry","MGMT-8811"
"Robert Bryan","STSO-3144"
"Robert Bryan","ENGR-6735"
"William Mitchell","CHEM-2367"
"Veronica Cannon","ITEC-5084"
"Veronica Cannon","LANG-9426"
"Penny Smith","CHEM-2266"
"Willie Ellis","COGS-3427"
"David Avila","COGS-7500"
"David Avila","MATH-5356"
"Janice Johnson","STSO-5464"
"Albert Garcia","ECSE-8311"
"Vanessa Miller","MATH-9474"
"Vanessa Miller","MGMT-3029"
"Vanessa Miller","ECSE-4324"
"Sean Crosby","ECON-1214"
"Sean Crosby","MGMT-4733"
"Ms. Whitney Diaz DVM","ENGR-5011"
"Erin Silva","ECON-5413"
"Erin Silva","CSCI-5023"
"Kristin Sandoval","MGMT-6033"
"Kristin Sandoval","ARCH-8147"
"Kristin Sandoval","ECON-4291"
"Jonathan Guzman","COGS-8029"
"Jonathan Guzman","CSCI-5884"
"Amy Henry","ITEC-6107"
"Amy Henry","CSCI-1405"
"Hannah Jimenez","CHEM-4549"
"Hannah Jimenez","ECSE-8311"
"Hannah Jimenez","COGS-3077"
"Rebecca Waters","COGS-3077"
"Rebecca Waters","BIOL-7645"
"Adam Thomas","COGS-7287"
"Adam Thomas","BIOL-4867"
"Joel Schneider","MATH-9843"
"Joel Schneider","ENGR-8635"
"Joel Schneider","STSO-6899"
"Elizabeth Stewart","CSCI-5630"
"Yolanda Delgado","ENGR-6537"
"David Martin","ARCH-7369"
"David Martin","COGS-2555"
"David Martin","BIOL-6426"
"James Espinoza","CHEM-7580"
"James Espinoza","CSCI-1934"
"James Espinoza","CSCI-1777"
"Laura Herrera","CHEM-7687"
"Laura Herrera","STSO-5001"
"Laura Herrera","ENGR-8711"
"Courtney Horton","ENGR-7382"
"Courtney Horton","ECON-8673"
"Daniel Silva","STSO-5392"
"Daniel Silva","ECSE-6530"
"Alicia Steele","ARCH-6185"
"Alicia Steele","STSO-1933"
"Daniel Chavez","ARCH-5996"
"Daniel Chavez","BIOL-6506"
"Daniel Chavez","STSO-8068"
"Sharon Smith","MATH-7041"
"Sharon Smith","LANG-1038"
"Samantha Hunt","MGMT-3535"
"Matthew Noble","CSCI-3014"
"Matthew Noble","LANG-2615"
"Matthew Noble","PSYC-5029"
"Richard Woodward","MATH-5669"
"Richard Woodward","CSCI-5490"
"Richard Woodward","ARCH-4612"
"Stacey Tate","CSCI-1994"
"Stacey Tate","LANG-1270"
"Stacey Tate","ARCH-2464"
"Samantha Hickman","MATH-5879"
"Samantha Hickman","CSCI-6607"
"John Navarro","CSCI-2542"
"Tyler Huffman","ENGR-3618"
"Robert Thomas","ECON-3139"
"Robert Thomas","ECSE-9186"
"Robert Thomas","PSYC-1340"
"Darius Green","CSCI-2400"
"Darius Green","ECON-2203"
"Darius Green","COGS-8009"
